genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Blues,Rita Ora,Your Song,4c2W3VKsOFoIg2SFaO6DY5,79,0.158,0.855,180757,0.624,0,C#,0.0513,-4.093,Major,0.0488,117.959,4/4,0.962
Prance,Juanes,La Plata (feat. Lalo Ebratt),7Eso5mURNFprb5PmhOXDlf,78,0.201,0.762,195493,0.74,0,C#,0.275,-4.72,Minor,0.226,167.881,4/4,0.961
Prance,Shawn Mendes,Nervous,5wxurz8J6YlyQRNnGN8zXS,76,0.0404,0.841,164147,0.623,0,C,0.126,-6.76,Major,0.0776,121.983,4/4,0.744
Prance,Mario,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,80,0.235,0.656,256733,0.578,0,G,0.118,-8.97,Minor,0.0922,94.514,4/4,0.556
Industrial,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,92,0.103,0.896,145543,0.671,0,C#,0.552,-6.977,Minor,0.289,112.502,4/4,0.358
Blues,Flo Rida,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,80,0.0928,0.918,231400,0.609,0,A#,0.139,-5.64,Minor,0.0791,128.008,4/4,0.304
Blues,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,82,0.304,0.804,298941,0.459,0.0862,B,0.11,-11.556,Major,0.039,111.963,4/4,0.372
Industrial,Boogie,Rainy Days (feat. Eminem),015jLlgBeSkl3CApWJhlv7,76,0.0146,0.866,234640,0.51,0,A#,0.107,-6.254,Major,0.256,106.949,4/4,0.171
Blues,KIAN,Waiting,0TBFJanfWaByPIi3f7RR82,77,0.372,0.787,215653,0.448,0,E,0.0779,-7.671,Minor,0.0508,138.03,4/4,0.471
Blues,The Proclaimers,I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,76,0.151,0.851,219467,0.551,0,E,0.0827,-5.177,Major,0.0396,131.922,4/4,0.807
